Specimen,SpeciesExpanded,Inion_X,Inion_Y,Inion_Z,Asterion R_X,Asterion R_Y,Asterion R_Z,Asterion L_X,Asterion L_Y,Asterion L_Z,Lambda_X,Lambda_Y,Lambda_Z,Stylomastoid For. R_X,Stylomastoid For. R_Y,Stylomastoid For. R_Z,Porion R_X,Porion R_Y,Porion R_Z,Auriculare R_X,Auriculare R_Y,Auriculare R_Z,Parietal Notch R_X,Parietal Notch R_Y,Parietal Notch R_Z,Mastoidiale R_X,Mastoidiale R_Y,Mastoidiale R_Z,Lat. Glenoid R_X,Lat. Glenoid R_Y,Lat. Glenoid R_Z,Stylomastoid For. L_X,Stylomastoid For. L_Y,Stylomastoid For. L_Z,Porion L_X,Porion L_Y,Porion L_Z,Auriculare L_X,Auriculare L_Y,Auriculare L_Z,Parietal Notch L_X,Parietal Notch L_Y,Parietal Notch L_Z,Mastoidiale L_X,Mastoidiale L_Y,Mastoidiale L_Z,Lat. Glenoid L_X,Lat. Glenoid L_Y,Lat. Glenoid L_Z,Bregma_X,Bregma_Y,Bregma_Z,Post-toral sulcus_X,Post-toral sulcus_Y,Post-toral sulcus_Z,Glabella_X,Glabella_Y,Glabella_Z,Stephanion R_X,Stephanion R_Y,Stephanion R_Z,Stephanion L_X,Stephanion L_Y,Stephanion L_Z
Pavlov 1,Upper Paleolithic H. sapiens,12.2005,6.3873,12.055,6.3668,9.7307,11.6444,17.2885,10.4927,11.6337,11.9412,6.7226,5.0772,7.751909014,13.96640969,13.68175775,6.000780015,14.46790733,12.70598151,5.590826085,14.53909387,12.4465502,5.716559636,11.87938684,11.50175486,6.896586669,13.04252302,15.54148541,5.53038095,16.15293209,13.28638712,15.854,14.3337,13.5845,17.5287,14.9905,12.5676,17.9242,15.0982,12.2985,18.017,12.437,11.3541,16.8337,13.493,15.4222,17.8585,16.7118,13.1384,11.46040756,17.02606316,0.711290718,11.21903096,24.99053581,8.147770796,11.30143792,25.60656198,9.760578462,5.828835329,18.02354387,4.366970194,17.15181905,18.80246356,4.61798632
Predmost 3,Upper Paleolithic H. sapiens,13.7997,3.4157,12.4956,7.8255,5.917,11.6715,18.8563,6.3729,11.6069,13.6219,3.5536,5.1345,8.6605,10.456,13.4094,7.0566,11.2842,12.3363,6.471,11.4338,11.6689,6.1189,8.0885,10.9752,7.2228,9.2987,14.9362,6.654,13.2859,12.8374,18.1179,11.0862,13.3551,20.122,12.0197,12.4128,20.5965,12.0647,11.7924,20.5743,8.4601,11.2864,19.2798,10.3264,15.2581,20.1856,14.1396,13.0413,13.40261263,14.17167127,0.382233918,13.44669272,21.61936542,7.405310236,13.1679919,22.35644864,8.950381649,6.89235714,15.08411324,4.495079136,18.94425719,14.61977011,3.505120254
Predmost 4,Upper Paleolithic H. sapiens,13.2941,4.1614,12.8049,7.8635,7.43,11.9516,18.6542,7.471,11.6361,13.2885,3.2011,6.1986,9.1532,12.2203,13.1619,7.4383,12.4857,11.9783,6.7621,12.5833,11.4905,6.9022,9.2136,11.1658,8.6397,11.4827,15.0374,6.7993,14.3555,12.0555,17.24381887,12.18296961,13.44342169,19.03921237,12.432173,12.38196609,19.748553,12.52338007,11.94237745,19.60030901,9.155010499,11.60764422,17.61889743,11.44126968,15.34984073,19.68850724,14.29602877,12.50399368,13.51252555,14.0214317,0.427596567,13.56516664,21.62730146,7.036451399,13.39535802,21.80790889,8.489031179,8.002312946,15.27691353,3.206495874,19.46941213,15.64547695,4.647338983
Upper Cave 101,Upper Paleolithic H. sapiens,12.9876,7.379,13.1505,6.978,9.7169,11.7355,18.3284,11.6611,12.195,13.2422,7.0635,6.0262,7.8286,15.0965,13.2888,5.6212,15.3566,11.6181,5.1944,15.3728,11.3084,5.6169,11.9324,11.0508,6.9264,14.6586,14.748,5.4564,17.1367,11.9896,16.5988,15.866,13.1882,18.5377,16.5129,11.4814,18.8942,16.4846,11.1176,19.0994,13.1727,10.8032,17.7508,15.7258,14.7817,18.3176,18.0891,11.8822,11.43245721,16.5305005,0.217638945,10.79131671,25.06595804,5.202672509,10.82087764,25.66157638,6.65505882,5.940681024,16.30887248,3.128746252,17.81200165,17.6440222,2.99726684
Upper Cave 103,Upper Paleolithic H. sapiens,13.9476,6.7085,11.588,8.756372493,9.435137016,10.46411449,18.7794,10.8415,10.6541,14.1207,6.7131,5.8335,8.9923,13.148,13.5247,7.4455,13.5526,11.8419,7.1243,13.5212,11.6116,NA,NA,NA,8.1847,12.6093,14.5253,7.076814806,15.65245109,12.16701522,17.0945,14.7284,13.4425,18.9132,15.3984,11.8986,19.2184,15.5144,11.6699,NA,NA,NA,18.5656,14.2079,14.2623,18.6192,17.272,12.3858,13.06206043,17.04235549,0.246324643,12.0962053,24.02954196,6.691031175,11.89769131,23.86925749,8.089617266,8.521877277,17.37839294,2.1770097,17.98714709,18.54070679,3.146956381
Australian19,H. sapiens,13.4561,8.8357,11.847,8.3286,11.2811,10.6031,18.0864,11.3228,10.5043,13.4719,7.2841,6.3815,9.8169,15.0021,11.9904,8.5502,15.3849,10.6623,8.175,15.4228,10.3777,7.9904,13.0305,10.1734,9.0525,14.4314,13.1695,7.9561,16.5664,10.6494,17.0008,14.992,11.8942,18.4946,15.4595,10.5539,18.8184,15.419,10.1983,18.8997,13.397,9.9112,17.9167,14.5016,13.0604,18.9583,16.8723,10.703,13.46219055,15.54432481,0.147049375,13.56862944,22.96407109,5.101093657,13.48125465,23.38704528,6.282378199,8.548874134,16.89478695,3.330218884,18.03576012,17.04396163,3.063465361
Australian21,H. sapiens,13.5576,8.8342,12.4624,8.2252,11.8361,10.6405,18.9673,11.5856,10.7058,13.5546,6.9935,6.7491,9.4477,15.5797,11.8349,8.1322,16.265,10.6856,7.9502,16.325,10.4524,7.4837,13.6516,10.3145,8.9158,15.3027,13.0941,7.8049,17.6917,10.8467,17.4777,15.3782,11.8206,18.8483,15.9818,10.7023,19.0772,16.0241,10.4837,19.5833,13.7123,10.3334,18.1903,14.9859,13.0154,19.0862,17.5331,10.847,13.80597274,16.16005991,0.290544423,13.89207424,24.39078681,5.822608285,13.83628327,24.49656887,7.228378924,9.235536382,17.41005548,2.594277415,17.6557766,17.38882145,2.31245909
Chinese01,H. sapiens,11.3896,13.5786,13.6354,5.8902,16.2746,13.0486,16.7067,16.2642,12.6472,11.5691,12.5562,7.7624,6.9387,20.6599,14.4384,6.0244,21.1416,13.157,5.3949,21.1219,12.5544,4.9813,18.0937,12.9477,6.186,20.2244,15.8486,5.6454,22.8385,13.0724,15.8118,20.7352,14.0925,17.2553,21.1518,12.9898,17.8086,21.0821,12.4987,17.8959,18.0824,11.8171,17.12730998,19.94398809,15.71806709,17.5523,22.8054,13.0675,11.62790289,20.80404995,1.302393994,11.90051988,28.52908652,7.131172324,11.96041715,28.81370538,8.739827128,6.670848538,22.88374288,4.055363134,16.50347155,22.35322497,3.532380908
Chinese12,H. sapiens,11.5198,12.144,13.5022,6.1208,15.3468,12.324,17.3865,15.7335,11.7535,11.6696,11.5644,7.3629,6.8915,20.1209,13.9351,5.4425,20.3532,12.0703,5.1575,20.3724,11.7341,5.3027,16.9861,11.4072,5.986,19.3581,15.4081,5.1961,22.0521,12.3466,16.2351,20.286,14.0302,17.9423,20.4237,12.1226,18.2747,20.3585,11.782,18.0149,18.1696,11.7164,16.8856,19.4511,15.5537,18.2585,22.3177,12.5421,11.6123497,20.79541222,1.02083523,11.69125876,29.06979293,6.777134832,11.75025173,29.42473791,8.364584051,7.061863234,23.53795472,3.544052715,16.31024406,23.22578628,3.450538524
East African07,H. sapiens,13.1466,3.5331,10.6794,7.6549,6.6963,9.8899,18.2968,6.5142,10.1356,13.326,3.5013,4.8265,8.9724,10.176,11.7057,7.7102,11.049,10.3037,7.3754,11.1435,9.9551,7.228,8.6389,9.3018,8.0575,9.8605,12.788,7.6411,12.539,10.7228,16.9937,10.1388,12.0272,18.371,10.9133,10.6529,18.7033,11.0001,10.3443,18.8664,8.559,10.0602,17.8423,9.7372,12.9549,18.2783,12.476,11.0988,13.66144241,12.12712871,0.037014444,13.44876652,19.13909882,6.022089156,13.3560721,19.22151303,7.076141638,8.317155769,14.02753565,3.46523306,18.49467945,13.96410562,4.117715352
East African09,H. sapiens,13.2315,3.8271,12.9365,7.6931,6.7782,11.2697,18.3835,6.5481,11.3657,12.6333,1.9799,6.3932,9.1356,11.2417,13.1481,7.4932,11.8349,11.7097,7.0671,11.9416,11.4117,6.8325,8.7286,10.9774,8.126331011,10.88664824,14.67253857,7.2306,13.6037,11.9549,17.125,11.1379,13.0049,18.8097,11.6502,11.5758,19.1279,11.6556,11.1719,19.4376,8.651,11.0445,18.0438,10.8465,14.6224,18.6373,13.4395,11.9641,13.17941752,12.03044202,0.347038508,13.19381746,20.36772533,5.876064571,13.17610119,20.60970373,7.307536554,7.569695305,14.22759103,3.804514815,18.5210494,13.57750737,3.365149476
Eskimo (Inusguk)08,H. sapiens,8.67956,6.63592,13.57836,2.62041,9.85106,12.37301,14.11024,10.23312,12.65872,8.85082,5.52346,7.76755,4.29253,14.67064,13.60993,2.68078,14.65762,11.87611,2.26699,14.7528,11.55403,2.00605,11.64124,11.42647,3.14885,13.90262,14.83177,2.46358,16.30992,12.13988,12.67946,14.65141,13.86058,14.39778,14.86366,12.38493,14.89166,14.70701,11.80775,15.06418,11.93094,11.81302,14.06813,13.98309,15.09697,14.63299,16.58569,12.65328,9.161528839,14.42511766,0.749593483,8.919542152,22.81902655,5.452385515,8.827799763,23.39652338,7.523939539,3.690140601,16.02435395,3.318396941,13.90901621,16.30511419,3.476141104
Eskimo (Inusguk)13,H. sapiens,12.0219,7.96973,11.87297,5.69118,10.814,11.52747,16.19332,11.88468,11.00233,11.39931,8.84489,4.70488,6.27764,15.36166,13.8478,4.6447,15.65943,12.06468,4.09486,15.63594,11.68402,4.39206,12.68689,11.17835,5.26775,15.02281,14.5701,4.14038,17.47389,12.67974,15.08953,16.17075,13.63656,16.71413,16.76444,11.85929,17.16598,16.59546,11.32701,17.17614,14.12076,10.44957,16.16457356,16.08896702,14.32807924,16.59281,18.68526,12.59534,10.18977115,17.78554171,0.141773084,9.613094494,25.43517953,5.749726085,9.759190761,25.90004261,7.423667918,4.905129439,19.37628506,3.067394153,14.31931422,19.51723721,2.153102179
Europe02,H. sapiens,11.2943,5.8114,14.9029,5.6863,8.9684,12.5693,17.6844,9.1353,12.795,11.4707,4.9376,8.0529,7.2224,14.1828,13.9874,6.0247,14.4917,12.4787,5.5882,14.4749,12.2532,5.2153,11.929,12.5021,6.4806,13.6736,15.3311,5.5935,16.0883,12.4136,16.3749,13.9402,13.9041,17.8923,14.3209,12.5521,18.2164,14.256,12.4041,18.611,11.5409,12.5513,16.9492,13.5328,15.2891,18.1936,15.8202,12.5237,11.90400265,13.8452733,1.252103962,11.80997577,22.21973524,6.017393747,11.93962503,22.86276363,7.765312424,7.104615292,15.07463868,2.853849954,17.13061956,15.35275559,3.890770921
Europe14,H. sapiens,16.0847,7.4279,13.7649,10.3961,9.2501,11.92,20.9878,10.17,11.7313,16.0014,5.7814,6.9815,11.3513,13.417,13.5093,9.8203,13.7596,12.2233,9.3528,13.7887,11.8047,9.5726,10.6136,11.3357,10.5958,13.2898,14.8999,9.4982,15.3306,12.27,19.7627,13.9616,13.3799,21.2249,14.6484,11.9778,21.6156,14.637,11.6265,21.946,11.8626,10.9551,20.5567,13.9396,14.8365,21.0652,16.1736,12.1932,15.23699879,13.63686925,0.991396718,15.00698488,21.75824645,6.382259532,14.78953584,22.18145645,7.989115116,9.790489634,15.66730673,4.150181277,20.37352714,16.44359218,3.987475893
Grand Gulch1,H. sapiens,11.6514,6.3437,12.6624,6.6251,9.705,10.9203,16.9706,9.42,10.9146,11.9119,5.0793,7.1982,8.0872,13.9127,12.2804,6.4786,14.2023,10.8109,6.1513,14.1268,10.6109,5.8878,11.5108,10.1774,7.1577,13.7301,13.7547,6.3242,15.7659,11.0224,15.6503,13.8629,12.2639,17.1735,14.1654,10.8388,17.6454,14.1253,10.3888,17.8397,11.6385,10.1726,16.5298,13.5064,13.5757,17.424,15.7332,11.0551,12.08856096,13.8931782,0.205369082,12.18412787,21.50537766,4.341477942,12.1291418,21.98560423,5.584843577,7.26505052,15.56965728,2.537772831,16.47898945,15.29598133,2.408205391
Grand Gulch12,H. sapiens,17.4541,6.4077,13.2021,11.6764,9.7181,11.6311,22.4378,9.3751,11.8859,17.4024,5.303,8.6064,12.9609,14.6021,12.7589,11.5207,14.7464,11.3801,11.0645,14.7042,10.9567,10.9525,11.5464,11.5544,11.993,14.4548,14.4135,11.2067,16.398,11.121,21.4689,14.6056,12.8569,23.1873,14.5352,11.5714,23.6363,14.3744,11.1795,23.4027,11.2647,11.2595,22.4045,14.1138,14.4528,23.6463,16.3787,11.436,17.18429408,13.51157958,0.187560148,17.59050909,21.94808756,4.21387903,17.65100378,23.06191575,5.825520593,12.35702155,15.90642474,2.744203794,22.03426668,15.33972459,2.636822957
KhoiSan12,H. sapiens,5.4023,14.0558,12.7623,-0.1168,16.1304,10.6659,10.8177,16.5411,10.5959,5.2849,11.8788,6.2781,1.0375,20.2385,11.6876,-0.4875,20.7236,10.203,-0.7395,20.7001,9.9031,-0.8651,17.9387,9.9016,0.4327,19.5269,13.5493,-0.6786,22.2932,10.3642,9.2995,20.8824,11.7591,10.8161,21.2363,10.2643,11.0223,21.2408,10.0729,11.3812,18.4569,9.8748,10.1407,20.2976,13.5728,10.9768,22.7544,10.2604,5.102052481,20.64988906,0.051196662,4.991309726,28.90846785,5.16312663,5.070272359,29.05553644,6.374840979,-0.077469856,22.06649505,2.950968524,10.45246656,22.17487335,2.998240623
KhoiSan28,H. sapiens,1.7189,11.1018,12.304,-4.0776,14.5339,11.3536,7.3791,14.4003,11.3189,1.551,10.2014,6.4383,-2.5252,18.7684,12.3439,-3.8802,19.6868,11.5681,-4.0771,19.6573,11.3139,-4.8276,16.0642,10.5283,-3.2943,18.641,14.0049,-3.9626,21.0021,11.6386,5.9954,18.87,12.2431,7.5161,19.4961,11.0839,7.6879,19.3765,10.794,8.4263,16.0483,10.1885,6.9287,18.4589,13.8989,7.4572,20.7117,11.0168,1.737273971,19.04197619,0.285528121,1.959693191,28.04931808,6.533152336,1.987247173,28.11529249,7.341276092,-3.633164331,21.36585468,3.134056543,7.097629203,20.80006241,2.921411971
Melanesian07,H. sapiens,8.7661,7.7407,12.5231,5.6939,11.7027,11.3064,13.981,7.6445,11.5151,8.1974,6.3768,7.1954,8.3818,15.0826,12.7293,7.1678,15.8793,11.3141,6.7493,16.0794,10.973,5.7472,13.9407,11.2958,7.5085,15.2011,13.772,7.3773,16.8742,11.0141,14.9723,11.7391,12.5559,16.3837,11.4948,11.3425,16.8712,11.1204,10.9633,15.8514,9.2193,11.02,15.6638,11.3583,13.8115,17.3325,12.4259,11.0788,11.89379118,13.48107602,0.492762301,14.75097625,19.89017099,5.084576089,14.92397892,20.3599116,6.348436509,7.959957954,17.01858035,3.0021729,16.78634121,12.68897153,3.02205079
Melanesian14,H. sapiens,9.01,7.8501,14.9021,5.8837,11.8663,13.3227,14.3939,7.0368,12.9148,7.445,5.5507,8.472,9.1162,14.9515,14.0802,8.4205,16.0852,13.0136,7.7454,16.3917,12.4116,5.9891,14.3682,11.9721,8.3697,15.5116,15.5673,8.4699,17.3327,12.3233,15.5906,11.1548,14.0172,16.6484,11.1535,12.7847,17.1881,10.7173,12.2602,16.0891,8.2666,11.6139,16.2166,10.955,15.4228,17.7105,11.9102,12.2444,11.78550218,13.19505686,0.657257103,15.96386823,19.69656526,5.616874782,16.12467439,20.00406853,6.912986227,7.927203581,16.76729214,3.115488112,16.42280247,11.73067165,2.695268358
Near Eastern08,H. sapiens,12.2062,11.2406,12.0749,6.7661,15.5969,11.0375,18.0174,15.4056,11.9487,12.719,12.1192,5.7109,8.0265,19.4759,13.0865,6.67,20.37,11.8576,6.1608,20.5344,11.3811,6.2133,17.732,10.9131,6.481819823,18.95005425,14.65286792,6.304,21.8445,12.4566,17.0023,19.5392,13.3421,18.3928,20.3445,12.0674,18.6994,20.4674,11.6986,18.5772841,17.90690641,11.09772979,18.1629,19.1153,14.8273,18.3613,21.782,12.6566,12.60358274,22.76756622,1.170100357,12.0967598,29.43069107,8.022439466,12.15531609,29.7456822,9.544618146,6.782351751,24.00260868,4.525046545,17.65257696,23.92347869,4.529633554
Near Eastern15,H. sapiens,11.2152,12.8891,13.7844,6.0005,16.149,12.8196,16.5276,15.5291,13.3426,11.5083,12.0124,8.5801,7.1929,20.6018,14.326,5.9677,20.9451,12.9052,5.7766,20.9787,12.7472,5.3257,18.3127,12.604,6.2412,19.6533,15.4665,6.0703,22.2809,13.0972,15.4859,19.8296,14.7557,17.1562,19.8185,13.3272,17.3645,19.8074,13.1018,17.5471,17.223,12.7039,16.3769,18.8484,15.8673,17.1867,21.4019,13.406,11.58360265,21.72495008,1.536609372,12.24552743,29.42459843,8.35934165,12.05624449,29.46334801,9.163973765,5.470836864,23.55338499,5.45743172,17.67972813,22.58779835,4.912781729
Tasmania1,H. sapiens,22.3803,8.4543,12.1978,17.2645,11.0161,11.1573,27.1891,11.13,10.9134,22.1559,7.6255,6.5132,18.2671,15.1278,12.964,16.5957,15.4111,11.5934,16.3046,15.532,11.198,16.2342,12.4542,10.8005,17.14585558,14.62046473,13.44748833,16.3873,17.0449,11.6311,26.3505,15.2246,12.6663,28.0639,15.3676,11.2014,28.3679,15.3508,10.6937,28.2288,12.6456,10.478,27.5625,14.4922,13.2535,28.2738,17.0213,11.2516,22.56385674,16.71282002,0.405734672,22.43413077,23.84461426,5.284326215,22.38374099,24.48059363,6.867117933,17.18545071,17.29666994,3.217602309,27.54348622,17.65073342,3.143590035
Tasmania5,H. sapiens,22.651,5.5909,12.4775,16.9706,9.3233,11.2743,28.111,9.3604,11.4717,22.7059,5.1454,7.0658,18.2247,13.9011,13.034,16.22,14.3141,11.3046,15.921,14.4132,10.8247,16.0682,10.9473,11.1154,17.1262,13.3565,14.1464,15.9777,15.8841,11.5226,26.5498,14.0501,12.6211,28.4706,14.4997,11.307,28.8207,14.6103,10.9062,28.9471,11.26,10.881,27.4053,13.6556,14.0269,28.486,16.0643,11.5176,22.77176346,15.39847522,0.017399567,22.56312322,23.57461389,6.7776611,22.44754951,23.5603009,7.709095851,18.1225105,15.7649707,2.048232069,27.0457311,15.87289807,1.901084654
Thai06,H. sapiens,12.1548,13.497,11.2822,6.6799,15.8385,10.7972,16.9263,16.0877,10.7163,12.054,13.2502,6.0541,7.6258,19.6823,13.1184,6.1733,20.0269,11.5605,5.8278,19.9561,11.2212,5.6762,17.546,10.7378,6.8121,18.8448,14.1063,5.7693,21.6748,11.9668,16.1751,19.8929,13.2833,17.6496,20.3951,11.835,18.0164,20.4782,11.4762,18.2525,18.0132,10.5236,17.0188,19.2503,14.3479,17.8581,22.0619,12.2568,12.08866606,22.40528594,0.734391143,11.77036103,28.82270527,7.260189482,11.70852923,28.68848134,8.845384207,6.829853809,23.7247657,3.728518749,17.17389321,23.91550584,4.229407879
Thai08,H. sapiens,12.1351,13.4161,12.8471,6.7124,15.8019,12.1874,17.6828,15.8228,12.2727,12.4671,13.0024,5.9038,7.6406,19.912,14.4965,6.0553,20.467,13.3486,5.6349,20.4109,12.8788,5.7132,17.4931,11.8261,6.7795,19.2201,16.1051,5.7702,22.1526,13.6548,16.5478,19.9769,14.6548,18.0674,20.8916,13.5429,18.498,20.9779,13.1915,18.6595,17.5771,12.1345,17.2934,19.4861,16.2856,18.1118,22.5255,13.9014,12.14535212,23.3109727,1.555295214,11.785466,30.36228863,9.043987487,11.64556508,30.2311602,10.43702888,6.154928825,24.79470705,5.166885214,17.08657551,24.48553471,4.57507284
Zulu01,H. sapiens,13.2752,8.5791,12.0009,8.0619,11.1083,10.6318,18.5446,11.4711,10.3054,13.3745,7.6141,5.4447,8.8872,15.3732,13.3639,7.6044,15.8798,12.011,7.2975,15.8875,11.6668,7.4093,12.2946,10.3063,8.087,14.6927,14.7874,7.3741,17.5094,12.6679,17.3283,15.6002,12.918,18.5799,16.3706,11.5427,18.7908,16.461,11.1353,19.2694,13.68,10.4031,18.1175,15.1953,14.3894,18.4763,18.0682,12.1558,12.93790822,18.72263356,0.684471159,12.66947711,26.12820495,7.963891649,12.51991099,26.10491316,9.00956915,7.976592879,19.13292338,2.833601772,17.27748367,19.766781,2.715893284
Zulu23,H. sapiens,13.1649,9.1601,12.2702,7.8231,11.8853,10.9871,18.5253,12.459,11.3914,13.7658,7.7397,5.1649,8.7638,16.121,13.1335,7.5765,16.6764,11.6688,7.1752,16.5868,11.2815,7.0757,13.7778,10.2866,7.9455,15.1959,14.4525,7.032,18.1999,11.8434,16.8996,16.3442,13.1405,18.4064,16.9575,11.6101,18.7818,16.9383,11.2887,19.1526,13.6813,10.8691,17.7367,15.6161,14.5503,18.6331,18.682,12.0026,13.30318058,18.93295775,0.312916316,12.85220066,25.71099889,7.263710406,12.70111555,25.59792876,8.692984472,7.81226066,19.79170019,3.626410722,18.38553765,19.68635587,3.515685014
